aabq	傲岸不群
pyvb	平庸之辈
pyvy	片言只语|片言折狱
pyvz	片言只字
pywc	颇有微词
pywd	盘游无度
pywn	迫于无奈
pywx	破颜微笑
pywz	拼音文字
pywv	攀辕卧辙
pyxi	旁逸斜出
pyxd	颇有心得
pyxu	迫于形势
pyxw	喷云泄雾|剖幽析微
pyxy	喷雨嘘云
pyyf	疲于应付
pyyu	旁摇阴煽
pyyy	平原易野
pyyz	片言一字
pyvc	片语只辞
pyvd	片云遮顶
pyzm	拼音字母
pzbg	破甑不顾
pzbu	贫嘴薄舌
pvbw	弸中彪外
pvcl	披榛采兰
pvdx	品竹调弦
pzeu	贫嘴恶舌
pvft	否终复泰
pzhh	佩紫怀黄
pzhu	贫嘴滑舌
pvjl	破竹建瓴
pzju	贫嘴贱舌
pzlj	萍踪浪迹
pvly	骈枝俪叶
pvmi	牝咮鸣辰
pzmj	迫在眉睫
pvqj	破柱求奸
pvqy	旁指曲谕
pzsj	僻字涩句
pzul	捧在手里
pzux	捧在手心
pvuz	胼胝手足
pvts	品竹弹丝|品竹调丝
pvtx	平治天下
pvyl	铺张扬厉
pvvc	朴斫之材
pvzt	否终则泰
pvzv	瓶坠簪折
qagl	乞哀告怜
qatm	弃暗投明
qbax	寝不安席
qbbc	前不巴村
qbbi	七步八叉
qbbd	区别不大|七病八倒
qbbf	前半部分
qbbh	千般不好
qbbn	千补百衲
qbbq	齐镳并驱
qbbt	七病八痛
qbbz	千杯不醉
qbcr	弃笔从戎
qbiu	泣不成声|七步成诗
qbiv	七步成章
qbcv	棋布错峙
qbdv	七八点钟
qbdw	穷兵黩武|洽博多闻
qbfg	强兵富国
qbfy	劝百讽一
qbgr	七八个人
qbgy	七八个月
qbgz	岂不怪哉
qbhu	取保候审
qbjj	情比金坚|裘弊金尽
qbjy	强本节用
qbkj	巧不可阶
qbkq	情不可却
qbkx	岂不可惜
qbky	泣不可仰
qblk	曲不离口
qblu	拳不离手
qbmz	岂不美哉
qbqg	奇不奇怪
qbqh	敲冰求火
qbqm	弃本求末
qbrm	强本弱末
qbrq	妻不如妾
qbrt	妾不如偷
qbrv	强本弱支|强本弱枝
qbus	七八十岁
qbuy	穷不失义
qbwb	千遍万遍
qbwh	千变万化
qbwl	轻薄无礼
qbwm	千兵万马
qbwv	千变万状|千变万轸
qbxi	棋布星陈
qbxl	棋布星罗
qbxv	旗布星峙
qbyf	七八月份
qbyn	祛病延年
qbyq	千部一腔
qbvc	七步之才
qbvh	将伯之呼
qbzj	情不自禁
qbvm	弃本逐末
qbzy	情不自已
qbvv	将伯之助
qibd	七长八短|取长补短|七穿八洞
qibk	千疮百孔|七疮八孔
qibl	千锤百炼|七穿八烂
qiby	千疮百痍
qiid	倾巢出动
qidi	钦差大臣
qidd	倾肠倒肚
qidf	清茶淡饭
qcdl	强词夺理
qidl	千锤打锣|千棰打锣
qidn	气冲斗牛
qidr	奇耻大辱
qidt	气沉丹田
qcdv	强词夺正
qiei	倾巢而出
qifx	切齿腐心
qigd	牵肠挂肚|牵肠割肚
qchu	轻才好施
qijc	轻车简从
qijd	清澈见底
qijx	琼厨金穴
qijv	浅尝即止|鹊巢鸠占
qilz	强唇劣嘴
qind	气冲牛斗
qine	七尺男儿
qcnk	砌词捏控
qinu	青春年少
qinw	启宠纳侮
qcqc	切磋切磋
qiqg	倾城倾国
qcqj	去粗取精
qiqj	契船求剑
qcql	群策群力
qiqr	岐出岐入
qirn	气喘如牛
qisj	前程似锦
qiul	轻车熟路
qcsy	青葱岁月
qith	切齿痛恨
qcvy	轻财重义
qiwb	千差万别
qiwi	千穿万穿
qcwc	千错万错
qiwc	千差万错
qiwh	千愁万恨
qiwl	前程万里
qcwl	千村万落
qiwq	千乘万骑
qiwu	前尘往事
qcwx	千仓万箱
qiwx	千愁万绪
qixh	气冲霄汉
qixx	气喘吁吁
qcxy	七彩祥云
qiyd	前程远大
qcyd	青翠欲滴
qcye	清脆悦耳
qcyg	七彩阳光
qiyj	栖冲业简
qiyl	青出于蓝
qcyn	奇才异能
qiyx	牵肠萦心
qcyy	群雌粥粥
qivh	起承转合
qivj	前车之鉴|气充志骄
qczj	遣词造句
qivk	迁臣逐客
qizl	弃车走林
qcvm	切磋琢磨
qivu	清尘浊水
qivv	浅尝辄止
qdbi	七搭八扯
qdbd	七颠八倒|七搭八搭
qdbf	气度不凡
qdbn	七担八挪
qdbx	庆吊不行|七大八小|七断八续
qdik	情窦初开
qdiv	屈打成招
qdfo	齐大非耦|齐大非偶
qdgf	青灯古佛
qdgv	请多关照
qdgx	裙带关系
qdhi	恰到好处
qdhj	青灯黄卷
qdji	弃短就长
qdjt	拳打脚踢
qdkn	乾端坤倪
qdll	前度刘郎
qdnu	情到浓时
qdqd	期待期待
qdru	弃道任术
qduj	前段时间|穷大失居
qdul	耆德硕老
qduu	气大伤身
qdut	气断声吞
qdux	气定神闲
qdtg	巧夺天工
qdvj	请多指教
qdwd	千刀万剁
qdwg	千刀万剐
qdwv	千叮万嘱
qdwx	千端万绪
qdwy	其道亡繇|其道无由
qdyi	弃短用长
qdyg	铅刀一割
qdyj	期待已久|穷当益坚
qdyp	强得易贫
qdys	气得要死
qdyx	取大优先|欺大压小
qdyy	齐东野语
qdvm	气得志满
qdvx	琴断朱弦
qebb	千儿八百
qebd	求而不得|群而不党
qebk	器二不匮
qebu	锲而不舍
qeii	乞儿乘车
qecu	弃恶从善
qedv	取而代之
qeet	倾耳而听
qehg	穷而后工
qehk	强而后可
qelu	妻儿老少
qelx	妻儿老小
qemy	乞儿马医
qewx	千恩万谢
qexv	起而行之
qeyj	轻而易举
qevm	倾耳注目
qfbd	起伏不定
qfbh	强凫变鹤
qfbj	千方百计
qfbs	庆父不死
qfbv	千峰百嶂
qfiy	凄风楚雨
qfdd	起伏跌宕
qfdu	棋逢对手|棋逢敌手
qfdy	情非得已
qfge	秋风过耳
qfgu	奇峰怪石
qfhd	七返还丹
qfhj	前赴后继|前覆后戒
qfhx	勤奋好学
qfhy	前俯后仰|凄风寒雨
qfjf	千帆竞发
qfjj	清风峻节
qfky	凄风苦雨
qflx	清风两袖
qfly	凄风冷雨
qfmy	清风明月
qfnn	千夫诺诺
qfqf	欺负欺负
qfqh	恰逢其会
qfqy	秋风秋雨
qfqv	巧发奇中
qfss	秋风瑟瑟
qfsu	秋风送爽
qfsv	千夫所指
qftj	起凤腾蛟
qftu	秋风团扇
qfty	气愤填膺
qfvt	切肤之痛
qfvy	千分之一
qfwh	千峰万壑
qfwj	千方万计
qfwv	全副武装
qfxl	清风徐来
qfxs	秋风萧瑟
qfxy	栖风宿雨
qfyu	确非易事
qfys	迁风移俗
qfyv	怯防勇战
qfvj	犬吠之警
qgbb	千古不变
qgbd	七高八低
qgbg	七拐八拐
qgbm	千古不磨
qgbq	七拱八翘
qgbs	气个半死
qgbu	强聒不舍
qgbx	千古不朽
qgid	清宫除道
qgih	气贯长虹
qgdb	千古独步
qgdd	乾纲独断
qgdy	全国第一
qgfy	起根发由
qggd	全国各地
qghg	曲高和寡
qghw	前歌后舞
qghx	去国怀乡
qgji	千古绝唱
qgjd	穷根究底|千古绝调
qgjl	清规戒律
qgjn	强弓劲弩
qgjq	前功尽弃|全功尽弃
qgjx	勤工俭学|屈高就下
qglp	齐轨连辔
qglx	弃故揽新
qgmm	清肝明目
qgmw	轻歌曼舞
qgqi	倾国倾城
qgqg	岂敢岂敢|窃钩窃国
qgqu	秋高气爽
qgqw	千古奇闻
qgrv	强干弱枝
qguj	牵鬼上剑
qgtx	弃过图新
qgvh	窃国者侯
qgvv	窃钩者诛
qgwf	欺公罔法
qgwh	千沟万壑
qgwy	前古未有
qgxd	旗鼓相当
qgxs	敲骨吸髓
qgxu	谦恭下士|谦躬下士
qgyc	奇光异彩
qgyd	千古一帝
qgyk	抢购一空
qgyl	千古一律
qgyn	强弓硬弩
qgys	弃公营私
qgyu	千古一时
qgyt	杞国忧天
qgyv	棋高一着|千古一辙
qgzb	其怪自败
qgzc	岂敢造次
qgvi	切骨之仇
qgvl	启瞶振聋
qgzr	千古罪人
qgvy	杞国之忧
qhbb	确乎不拔
qhbj	青黄不接
qhbl	七慌八乱
qhbm	弃好背盟
qhbu	七横八竖
qhbv	千回百折|千回百转
qhdl	砌红堆绿
qhfh	牵合附会|牵合傅会
qhhy	前呼后拥
qhjl	契合金兰
qhjx	七行俱下
qhkj	奇货可居
qhnx	骑虎难下
qhqu	屈蠖求伸
qhqv	权衡轻重
qhuy	骑鹤上扬
qhwf	秋毫无犯
qhwh	千呼万唤
qhwy	骑鹤维扬
qhwv	千回万转|千汇万状
qhwz	千红万紫
qhxh	群鸿戏海
qhyc	奇花异草|琪花瑶草
qhyh	奇花异卉
qhyu	琪花玉树
qhyt	漆黑一团
qhyv	骑鹤扬州
qhzb	青红皂白
qhvm	秋毫之末
qjbh	气急败坏
qjbm	奇经八脉|千娇百媚
qjbq	青筋暴起
qjbu	七脚八手
qjbs	气急败丧
qjbw	强记博闻
qjbx	趋吉避凶
qjbv	千金弊帚|千金敝帚
qjij	勤俭持家
qjdi	倾家荡产|弃家荡产
qjde	屈居第二
qjdg	弃甲倒戈
qjdj	乞浆得酒|求浆得酒
qjdk	弃甲丢盔
qjdl	缺斤短两
qjfl	穷家富路
qjfm	全军覆没|全军覆灭
qjfn	弃甲负弩
qjft	抢尽风头
qjgw	浅见寡闻
qjgx	骐骥过隙|秦镜高悬
qjgy	前几个月
qjgz	前脚刚走
qjhg	前倨后恭
qjjr	情景交融
qjju	敲金击石
qjjy	勤俭节约
qjli	掐尖落钞|轻解罗裳
qjlx	勤加练习|弃旧怜新
qjmg	千金买骨
qjmx	千金买笑
qjmy	强奸民意
qjnq	千金难求
qjpl	琴剑飘零
qjqd	气决泉达
qjqj	切记切记
qjql	倾尽全力
qjqm	曲尽其妙
qjrf	其疾如风
qjrm	屈节辱命
qjrw	请君入瓮
qjsb	穷极思变
qjug	千金市骨
qjul	缺斤少两
qjun	裙屐少年
qjsu	七局四胜
qjus	气竭声嘶|气竭声澌
qjuw	气绝身亡
qjuy	雀角鼠牙
qjtg	弃甲投戈
qjtx	弃旧图新
qjty	曲径通幽
qjvd	千斤重担
qjvf	千钧重负
qjvg	齐家治国
qjvh	秦晋之好
qjvu	情急智生
qjvx	情急之下
qjvz	欺君之罪|千金之子
qjwd	轻举妄动
qjwg	欺君误国
qjwh	千家万户
qjwl	穷极无聊
qjwm	千军万马
qjwq	千钧为轻
qjwu	欺君罔上|起居无时
qjwv	迄今为止
qjww	清静无为|清净无为
qjxj	千金小姐
qjyb	弃甲曳兵|千金用兵
qjyc	齐集于此
qjyd	千军易得
qjyf	千钧一发
qjyh	取精用弘|千金一瓠
qjyj	窃据要津
qjyk	千金一刻|千金一壸
qjyl	牵经引礼
qjym	骐骥一毛
qjyn	千金一诺
qjyq	奇技淫巧
qjyr	强加于人
qjyt	齐聚一堂
qjyv	千金一掷
qjyx	弃旧迎新|千金一笑
qjyy	琼浆玉液|轻举远游
qjvj	千金之家
qjvm	气骄志满
qjvq	千金之裘
qkbd	七开八得
qkbu	轻口薄舌
qkby	钳口不言
qkbz	七口八嘴
qkdn	气克斗牛
qkdu	旗开得胜
qkfi	禽困覆车
qkjb	群空冀北
qkjd	清可见底
qkju	钳口结舌
qkld	穷困潦倒
qkmv	穷寇莫追
qkpl	晴空霹雳
qkrj	穷苦人家
qksr	迁客骚人
qkuy	七孔生烟
qktu	钱可通神
qkvj	顷刻之间
qkwl	晴空万里
qkwv	穷寇勿追
qlbb	七棱八瓣|迁兰变鲍
qlbi	七拉八扯
qlbd	千了百当|七老八倒|七了八当
qlbf	泣麟悲凤
qlbg	曲里八拐
qlbh	趋利避害
qlbl	七零八落|千了百了|千伶百俐
qlbq	其乐不穷
qlbr	七捞八攘
qlbu	七老八十
qlbs	七零八碎
qlbw	牵萝补屋
qlig	秦楼楚馆|千里莼羹
qldd	骑驴倒堕
qldg	敲锣打鼓|齐量等观
qldj	其利断金
qldy	枪林弹雨
qlem	千里鹅毛
qlgg	奇离古怪
qlgw	曲里拐弯
qlhh	乔龙画虎
qlhs	青林黑塞
qljg	千里骏骨
qljq	黔驴技穷
qljx	穷理尽性
qljy	千里结言
qlki	嘁哩喀喳
qlkl	千里餽粮
qlln	去留两难
qlmb	牵萝莫补
qlmh	清理门户
qlml	骑驴觅驴
qlmm	巧立名目
qlnf	骑龙弄凤
qlph	歧路徘徊
qlqm	轻虑浅谋
qlqw	亲力亲为
qlrr	其乐融融
qlsj	骑驴索句
qluj	千里神交
qltf	千里同风
qlts	清丽脱俗
qltt	千里迢迢
qlvd	千里之堤
qlvm	骑驴找马
qlvv	情理之中|千里之志
qlvx	千里之行
qlwd	千了万当|千龄万代
qlwq	其乐无穷
qlwu	群龙无首
qlwy	歧路亡羊|千里无烟
qlyd	千虑一得
qlyf	全力以赴
qlym	千里犹面
qlyq	千里一曲
qlyu	千虑一失|琼林玉树
qlyy	琼楼玉宇
qlvj	黔驴之计
qlvr	千里之任
qlzs	妻离子散
qlvz	千里之足
qmbj	齐名并价
qmbp	七满八平
qmbu	千磨百折
qmby	其貌不扬
qmdx	轻描淡写
qmfb	弃末反本|弃末返本
qmfv	全面发展
qmgb	去末归本
qmgi	全面贯彻
qmhf	前目后凡
qmja	齐眉举案
qmji	亲密接触
qmjf	器满将覆
qmjh	前门拒虎
qmjz	勤勉尽责
qmlw	群魔乱舞
qmly	青面獠牙
qmqf	裘马轻肥
qmqg	去没去过
qmsx	启蒙思想
qmta	弃明投暗
qmts	求马唐肆
qmvl	犬马之劳|旗靡辙乱
qmvm	青梅竹马|骑马找马
qmwh	千门万户
qmwj	亲密无间
qmxm	骑马寻马
qmya	其鸣也哀
qmyd	器满意得
qmvb	犬马之报
qmvd	气满志得
qmzf	器满则覆
qmzh	阡陌纵横|妻梅子鹤
qmvj	气满志骄
qmvy	犬马之养
qnbn	欺男霸女
qnbv	勤能补拙
qnbw	七扭八歪
qnbx	七男八婿
qncj	青年才俊
qngu	弃逆归顺
qngx	轻诺寡信
qnlh	倩女离魂
qnly	千年老妖|穷年累月
qnmn	骑牛觅牛
qnmu	强弩末矢
qnqf	轻拿轻放
qnrh	穷鸟入怀
qnud	耆年硕德
qntq	去年同期
qnvm	强弩之末
qnvy	七年之痒
qnwb	千年王八
qnwh	其奈我何
qnwk	千难万苦
qnwn	千难万难
qnwx	千难万险
qnwz	千难万阻
qnxj	牵牛下井
qnxu	倾囊相授
qnyl	千年一律
qnyr	迁怒于人
qnvb	七年之病
qnzj	情难自禁
qnvj	强弩之极
qnvn	牵牛织女
qpaf	欺贫爱富
qpbb	七破八补
qpbc	七拼八凑
qpbw	七平八稳
qpdy	倾盆大雨
qpfd	全盘否定
qphj	前仆后继
qphy	亲朋好友
qpju	全盘皆输
qpqm	枪炮齐鸣
qpuv	拳怕少壮
qptg	全票通过
qpxh	全盘西化
qpyh	奇葩异卉
qpyl	千篇一律
qpvx	雀屏中选
qpvv	挈瓶之知
qqaa	期期艾艾
qqbb	七七八八
qqbg	千奇百怪
qqbh	七青八黄
qqbj	齐驱并驾|齐驱并进|齐趋并驾
qqbp	崎岖不平
qqby	确切不移
qqbv	齐驱并骤
qqcb	切切此布
qqcc	凄凄惨惨
qqii	清清楚楚
qqig	迁乔出谷
qqiq	妻妾成群
qqcx	区区此心
qqiy	权倾朝野
qqdb	全权代表
qqdd	敲敲打打
qqdf	群情鼎沸
qqdy	千秋大业
qqfh	牵强附会|牵强附合
qqfm	轻裘肥马
qqfy	拳拳服膺
qqgg	奇奇怪怪
qqhd	强取豪夺|巧取豪夺|轻裘缓带
qqhh	前前后后|栖栖遑遑
qqjh	群情激昂
qqje	戚戚具尔
qqjf	群情激奋
qqjl	茕茕孑立
qqjx	乞穷俭相
qqjy	权钱交易|讫情尽意
qqjz	谦谦君子
qqkk	勤勤恳恳
qqky	求亲靠友
qqlh	强强联合
qqll	起起落落|七窍玲珑|崎嵚历落
qqlu	强强联手
qqlx	七窍流血
qqly	七情六欲
qqmh	七窍冒火
qqpy	亲戚朋友
qqqz	七擒七纵
qqrr	亲亲热热
qqrw	千秋人物
qqsf	全取三分
qquh	琴棋书画
qqul	弃琼拾砾
qqss	轻轻松松
qquu	确确实实
qquy	七窍生烟
qqsy	窃窃私语|切切私语|窃窃私议
qqtb	取巧图便
qqtr	全情投入
qqvv	曲曲折折|区区之众|拳拳之枕|群轻折轴|嘁嘁喳喳
qqvx	乔迁之喜
qqwd	千秋万代
qqwg	千秋万古
qqws	千秋万岁
qqwu	千秋万世
qqww	千千万万|卿卿我我
qqwx	青钱万选
qqwy	千秋伟业
qqwz	千秋万载
qqxf	恰恰相反
qqxr	穷泉朽壤
qqxu	区区小事
qqxy	群起效尤
qqyg	栖丘饮谷
qqyu	弃情遗世|求其友声
qqyy	乾乾翼翼|弃其馀鱼
qqzb	求全责备
qqvh	求全之毁
qqvj	搴旗斩将
qrbl	弃若敝履
qrbx	弃如敝屣|弃若敝屣
qrdr	求仁得仁
qrff	沁人肺腑
qrfg	妻荣夫贵
qrgp	凄入肝脾
qrgr	亲如骨肉
qrhm	轻如鸿毛
qrjj	齐人攫金
qrjl	契若金兰
qrlf	七日来复
qrlx	凄然泪下
qrpy	欺软怕硬
qrqf	恰如其分
qruj	前人失脚
qrsn	强人所难
qrut	气忍声吞
qruy	取如拾遗
qruz	亲如手足
qrsv	千人所指
qrtu	欺人太甚
qrvf	齐人之福
qrwh	谦让未遑
qrwu	悄然无声
qrwv	千仞无枝
qrxp	沁人心脾
qrym	千人一面
qrys	气若游丝
qryt	杞人忧天
qryx	确认一下
qrvd	倩人捉刀
qrzq	欺人自欺
qrzu	前人栽树
qrvt	欺人之谈
qrzy	跫然足音
qrvy	杞人之忧
quaw	轻视傲物
quax	欺霜傲雪
quba	寝食不安
qsbc	樵苏不爨
qubd	求生不得
qubf	求神拜佛
qubg	青山不改
qsbh	七死八活
qubj	七手八脚|七首八脚
qubl	青山不老|七上八落
qsbn	求死不能
qubr	禽兽不如
qubu	七事八事
qsbu	七损八伤|千随百顺
qubw	前事不忘|强识博闻
qubx	七上八下
qsby	七损八益
qubz	七舌八嘴
quie	劝善惩恶|迁善黜恶
quim	青史传名
qudc	秋收冬藏
qudg	切树倒根
qudm	欺世盗名
queb	七十二变
queh	七十二行
quem	螓首蛾眉
queu	穷山恶水
quet	全身而退
qugg	迁善改过
qugh	泉石膏肓
qugm	囚首垢面
qugr	亲生骨肉
qugx	七十古稀
qugv	全神贯注
qshg	千岁鹤归
quhh	气势恢宏
qshl	迁思回虑
qshu	起死回生
qshx	前思后想
quhx	泣数行下
quji	穷奢极侈
qujj	弃书捐剑|秋扇见捐
qujl	亲身经历
qujy	穷奢极欲
qukx	切实可行
qslh	强死赖活
qulm	青史留名
qulq	情恕理遣
qulu	青山绿水
quly	切身利益
qumj	强食靡角
qsms	欺三瞒四
qumx	欺上瞒下
qsmx	奇思妙想
qumz	欺师灭祖
quna	寝食难安
qund	七十年代
qunf	其实难副|其实难符
qunl	穷鼠啮狸
qupb	气势磅礴
qupe	欺善怕恶
qspf	秋色平分
qspp	琴瑟琵琶
qspt	牵丝攀藤
qupw	翘首盼望
quqe	迁善去恶
quqg	全受全归
qsqh	强死强活
quqj	轻手轻脚
quqq	怯声怯气
quqs	七生七死
qsqu	七死七生
quqv	全始全终
qurh	气势如虹|巧舌如簧
qurl	强手如林
qurr	强食弱肉
qush	情深似海
qsuq	情随事迁
quuq	全胜时期
qusw	迁善塞违
qusx	欺霜赛雪
quth	切身体会
qsth	琴瑟调和
qutu	情深潭水
qutt	漆身吞炭
quwb	求神问卜
quwh	千山万壑
qswj	前所未见
quwj	千生万劫
qswl	千丝万缕|千思万虑
quwu	千山万水|千水万山
quws	千生万死
qsww	前所未闻
quwx	欺上罔下
qswx	千思万想
quwy	气煞我也
qswy	前所未有
qswv	杞宋无征
quxx	其势汹汹|气势汹汹
quxy	轻声细语
qsxy	轻松写意
quxv	棋输先著|棋输先着
quyd	翘首以待
quyf	青山一发
quyj	气数已尽
qsyk	轻松愉快
quym	清水衙门
quyp	翘首以盼
quyq	情深缘浅
quyr	秋水伊人
qsyu	千岁一时
quyv	情深义重
quyz	迁善远罪
quza	强食自爱
quvg	丘山之功
qsvh	琴瑟之好
quvk	寝苫枕块
qszr	轻松自如
quvv	雀鼠之争
qtbj	齐头并进
qtbr	青天白日
qtbz	七推八阻
qtik	亲痛仇快
qtcy	求同存异
qtdu	蜻蜓点水
qtgl	奇谈怪论
qtgm	清汤挂面
qtgr	情同骨肉
qtgu	清汤寡水
qthf	齐天洪福
qthh	气吞湖海
qthn	气吞虹蜺
qthq	前凸后翘
qtjb	犬兔俱毙
qtjm	情同姐妹
qtjy	弃同即异
qtkd	欺天诳地
qtkj	囚徒困境
qtmd	去他妈的
qtml	穷途末路
qtmu	墙头马上
qtmw	秋荼密网
qtnd	去他娘的|气吞牛斗
qtnh	情天孽海
qtnx	黔突暖席
qtpl	晴天霹雳|青天霹雳
qtqu	去泰去甚
qtqw	掐头去尾
qtry	全体人员|泣涕如雨
qtud	青铜时代
qtuh	气吞山河
qtuz	情同手足
qttj	前提条件
qtwb	前途未卜
qtwd	欺天罔地|千条万端
qtwl	前途无量|千条万缕
qtwr	欺天罔人
qtwu	求田问舍
qtwx	千头万绪|千条万绪|千头万序
qtwv	千态万状
qtwz	千推万阻
qtxx	曲突徙薪
qtxy	前庭悬鱼
qtyh	情投意合
qtyv	气吞宇宙
qtzh	巧同造化
qtvk	秦庭之哭|穷途之哭
qtvl	杞天之虑
qvam	勤政爱民
qvbd	求之不得|七支八搭
qvbg	却之不恭
qvbj	取之不尽
qvbk	七折八扣
qvbu	穷追不舍
qvby	弃之不用
qvcu	强制措施|青州从事
qvdb	乔装打扮
qvdi	浅斟低唱
qvdv	轻重倒置
qvdy	枪支弹药
qvgg	齐抓共管
qvhg	前瞻后顾
qvhj	轻重缓急
qvhq	欠债还钱
qvhw	秦砖汉瓦
qvjc	轻装简从
qvku	屈指可数
qvkx	弃之可惜
qvlj	清正廉洁
qvlm	清正廉明
qvls	敲诈勒索
qvlx	群众路线
qvmd	穷追猛打
qvnu	罄竹难书|磬竹难书|拳中掿沙
qvqn	全知全能|全智全能
qvqt	且战且退
qvrn	气壮如牛
qvrs	曲终人散
qvrw	趋之若鹜
qvsv	情之所钟
qvub	切中时弊
qvuh	气壮山河
qvuj	起止时间
qvut	缺肢少腿
qvuv	轻装上阵
qvvy	其中之一
qvwq	千真万确
qvwu	求真务实
qvwy	曲折蜿蜒
qvxm	旗帜鲜明
qvyb	奇珍异宝
qvyd	取之有道
qvyf	奇装异服
qvyg	其中一个
qvyh	切中要害
qvym	取之于民
qvyq	情真意切
qvys	掐指一算
qvzq	清者自清
qwbd	七窝八代
qwbg	七弯八拐|七湾八拐
qwbm	情文并茂
qwbn	七歪八扭|七湾八扭
qwby	千万不要
qwcj	去芜存菁
qwcv	去伪存真|弃伪从真|弃文存质
qwdr	请勿打扰
qwgj	奇文瑰句
qwgr	前无古人
qwgu	奇文共赏|羌无故实
qwgs	牵五挂四
qwhu	趣味横生
qwht	前挽后推
qwjc	强文假醋
qwjw	弃文就武
qwlg	齐纨鲁缟
qwml	千万买邻
qwqd	群威群胆
qwqj	洽闻强记
qwql	巧伪趋利
qwqw	千万千万
qwru	权威人士
qwui	全无是处
qwsc	窃位素餐
qwuc	强文浉醋
qwun	齐王舍牛
qwux	悄无声息
qwwq	其味无穷
qwxg	全无心肝
qwxt	趣味相投|气味相投
qwyl	牵物引类
qwyu	趣闻轶事
qwzj	区闻陬见
qwvs	绮纨之岁
qxbl	齐心并力|齐心併力
qxbu	七郤八手
qxbw	青鞋布袜
qxby	其心必异
qxcc	群星璀璨
qxiy	泣血捶膺
qxcv	弃邪从正
qxdd	气消胆夺
qxdl	情绪低落|齐心涤虑
qxdq	牵线搭桥|倾箱倒箧
qxfg	气血方刚
qxgd	惬心贵当
qxgj	群雄割据
qxgv	奇形怪状|弃邪归正
qxgy	清心寡欲
qxhc	情见乎辞
qxhl	齐心合力
qxhw	勤学好问
qxjd	情绪激动|琴心剑胆
qxje	穷凶极恶
qxjg	曲线救国
qxju	谦虚谨慎
qxjs	泣血稽颡
qxjw	鹊笑鸠舞|祁奚举午
qxjx	穷形极相|穷形尽相
qxjy	清新俊逸
qxjz	抢险救灾
qxkj	清晰可见
qxkl	勤学苦练
qxkv	其心可诛
qxll	齐心戮力
qxlq	綦溪利跂
qxlu	穷巷陋室
qxly	弃瑕录用
qxmu	欺下瞒上
qxnu	禽息鸟视
qxpr	穷乡僻壤
qxpy	穷乡僻野
qxqy	全心全意|弃瑕取用
qxrk	求贤若渴
qirl	其臭如兰
qxry	泣下如雨
qxuf	缺心少肺
qxuq	情见势屈
qxus	勤学善思
qxuu	全校师生
qxtd	倾心吐胆
qxtj	取辖投井
qxtk	奇想天开
qxtl	齐心同力
qxts	清新脱俗
qxvi	裙下之臣
qxvl	群雄逐鹿
qxvy	潜心专研
qxwd	千绪万端
qxwg	七相五公|弃瑕忘过
qxwk	千辛万苦
qxwq	气象万千
qxwy	确信无疑
qxwv	千形万状
qxxl	齐心协力
qxyb	抢先一步
qxyd	浅显易懂
qxye	缺心眼儿
qxyl	齐心一力
qxym	取信于民
qxyr	巧笑嫣然
qxyv	泉下有知|奇形异状
qxyy	气息奄奄|器小易盈
qxvg	泣血枕戈
qxvj	泣下沾襟|祁奚之荐|祁奚之举
qxzq	雀小脏全
qybf	轻徭薄赋|器宇不凡
qybk	缺一不可
qybl	穷猿奔林
qybu	千依百顺
qybx	跫音不响|屈艳班香|弃义倍信
qyby	七言八语
qycc	去也匆匆
qyif	秋月春风
qyig	迁莺出谷
qyih	秋月春花
qycl	岂有此理
qyir	取义成仁
qydj	牵羊担酒
qydk	青蝇吊客
qyds	青蝇点素
qydv	情有独钟
qydw	企业单位
qyfi	曲意奉承
qyfh	牵引附会
qyfj	秦越肥瘠
qyfq	轻言放弃
qyfu	趋炎附势|群蚁附膻
qyfy	曲意逢迎
qygh	驱羊攻虎
qygl	企业管理
qygw	迁延顾望|迁延观望
qygy	奇言怪语
qyhg	前因后果
qyhh	前仰后合
qyhm	轻于鸿毛
qyhx	强颜欢笑
qyhy	前言后语
qyjc	犬牙交错
qyjd	前一阶段|齐烟九点
qyjl	迁延稽留|迁延羁留
qyjw	穷源竟委
qyjx	千岩竞秀
qyky	情有可原
qyls	巧言令色
qylw	穷阎漏屋
qymd	亲眼目睹
qymh	潜移默化
qymm	情意绵绵
qymx	清夜扪心
qypc	巧言偏辞
qypr	欺硬怕软
qyqm	迁于乔木
qyqn	弃易求难
qyqu	确有其事
qyrh	巧言如簧
qyrm	妾意如棉
qyru	气涌如山
qyrx	其应若响|其应如响
qyry	迁延日月
qysj	亲眼所见
qyul	潜意识里|穷源朔流|岂有是理
qysl	穷源溯流
qyur	迁延时日
qyuu	缺衣少食
qyuy	缺医少药
qysy	迁延岁月
qyuv	潜意识中
qytl	穷猿投林
qytx	窃玉偷香|牵衣投辖
qyvj	权宜之计|牵衣肘见
qyvz	前一阵子
qywc	衾影无惭
qywd	趋于稳定
qywh	企业文化|千岩万壑
qywu	起偃为竖|千言万说|千依万顺
qywy	千言万语|千语万言
qyxh	器宇轩昂|气宇轩昂|气逾霄汉
qyxi	倾摇懈弛
qyxc	犬牙相错
qyxt	气焰熏天|气义相投|气谊相投
qyxv	气焰嚣张|犬牙相制
qyyf	穷于应付
qyyj	青眼有加|取予有节
qyyu	其言也善
qyyv	犬牙鹰爪
qyyy	清音幽韵
qyvh	骑扬州鹤
qyvp	千羊之皮
qyvu	期颐之寿|青云直上
qzav	潜滋暗长
qzbh	七纵八横
qzbn	千灾百难
