美元	$|💵|💲
膨胀的心	💗
膨胀的爱心	💗
一箭穿心	💘
丘比特	💘
心中箭了	💘
蓝心	💙|🩵
蓝色心	💙|🩵
蓝色的心	💙|🩵
绿心	💚
绿色心	💚
绿色的心	💚
黄心	💛
黄色心	💛
黄色的心	💛
紫心	💜
紫色心	💜
紫色的心	💜
爱的礼物	💝
礼物	💝|🎁
系有缎带的心	💝
送你一颗心	💝
饰以丝带的心	💝
心连心	💞
旋转的心	💞
爱你	💞|💕|🩷|🤟
舞动的心	💞
心形	💟|♥️
心形装饰	💟
灯	💡
灯泡	💡
电灯	💡
电灯泡	💡
白炽灯	💡
火大	💢
生气符号	💢
青筋	💢
靠	💢
boom	💣
炸弹	💣
ZZZ	💤
睡眠符号	💤
爆炸	💥
水	💦
水滴	💦|💧
水珠	💦|💧
一滴	💧
一滴水	💧
汗滴	💧
吹气	💨|🌬
尾气	💨
屁	💨
汽车尾气	💨
阵风	💨
㞎㞎	💩
便便	💩
大便	💩
屎	💩
拉㞎㞎	💩
拉便便	💩
拉大便	💩
拉屎	💩
二头肌	💪
健身	💪
加油	💪|⛽
努力	💪
奋斗	💪
强壮	💪
秀肌肉	💪
肌肉	💪
肱二头	💪
肱二头肌	💪
对话框	💬|🗨|🗯|💭
对话气泡	💬|🗨|🗯
内心活动气泡	💭
思考气泡	💭
白色的花	💮
白花	💮
一百	💯
一百分	💯
满分	💯
money	💰
奖金	💰
工资	💰
金钱	💰|💲
钱	💰
钱袋	💰
兑换	💱
出国	💱
外汇	💱
换汇	💱
汇率	💱
流通	💱
货币兑换	💱
价钱	💲
粗美元符号	💲
货币	💲
信用卡	💳
借记卡	💳
贷记卡	💳
银行卡	💳
日元钞票	💴
纸币	💵
美元钞票	💵
钞票	💵
欧元钞票	💶
英镑钞票	💷
翅膀钱	💸
花钱	💸
钱飞了	💸
长了翅膀的钱	💸
长翅膀的钱	💸
座位	💺
个人电脑	💻
手提电脑	💻
笔电	💻
笔记本电脑	💻
上班	💼
公事包	💼
公文包	💼
工作	💼
光盘	💽
光碟	💽
电脑光盘	💽
迷你光盘	💽
迷你光碟	💽
软盘	💾
CD	💿
DVD	📀
文件夹	📁|📂
卷边的纸	📃
带卷边的纸	📃
文书	📄
文件	📄
纸	📄
日历	📅
手撕日历	📆
卡片索引	📇
卡牌索引	📇
上升	📈
上涨	📈
暴涨	📈
下跌	📉
下降	📉
暴跌	📉
图表	📊
条形图	📊
柱形图	📊
柱状图	📊
写字板	📋
剪贴板	📋
图钉	📌
圆图钉	📍
大头针	📍
回形针	📎|🖇
曲别针	📎|🖇
尺子	📏
直尺	📏
三角尺	📐
三角板	📐
书签标签	📑
标签页	📑
页签	📑
账簿	📒
日记本	📔|📓|📒
笔记本	📔|📓|📒
记事本	📔|📓|📒
小红书	📕
第一卷	📕
红色书本	📕
红色的书	📕
书	📖|📚
书本	📖|📚
书籍	📖|📚
图书	📖|📚
打开的书	📖
打开的书本	📖
教科书	📗
第二卷	📗
绿色书本	📗
绿色的书	📗
第三卷	📘
蓝色书本	📘
蓝色的书	📘
橘色书本	📙
橘色的书	📙
橙色书本	📙
橙色的书	📙
第四卷	📙
姓名牌	📛
卷轴	📜
便笺	📝
备忘	📝
备忘录	📝
电话听筒	📞
电话筒	📞
传呼机	📟
呼机	📟
寻呼机	📟
传真	📠
传真机	📠
发传真	📠
卫星天线	📡
天线	📡
接收天线	📡
公共广播	📢
喇叭	📢|📣
喇叭筒	📣
大喇叭	📣
发件	📤
发件箱	📤
发信	📤
发邮件	📤
收件	📥
收件箱	📥
收信	📥
收邮件	📥
包裹	📦
快递	📦
打包	📦
盒子	📦
箱子	📦
纸箱	📦
纸箱子	📦
email	📧
电子邮件	📧
邮件	📧
收到来信	📨
收到邮件	📨|📥
新邮件	📨
来信	📨
信箱	📪
邮筒	📮
邮箱	📮|📫
邮政喇叭	📯
报纸	📰
新闻	📰
手机	📱
智能手机	📱
移动电话	📱
手机来电	📲
来电	📲
振动模式	📳
震动	📳
关机	📴
关闭手机	📴
手机关机	📴
禁止使用手机	📵
禁止打电话	📵
信号	📶
信号强度	📶
信号强度条	📶
手机信号	📶
卡片相机	📷
照相机	📷
相机	📷
开闪光灯的相机	📸
拍照	📸
闪光灯	📸
闪光灯打开	📸
TV	📺
电视	📺
电视机	📺
收音机	📻
无线电	📻
电台	📻
录像带	📼
录影带	📼
磁带	📼
上映	📽
放映机	📽
电影放映机	📽
念珠	📿
交叉箭头	🔀
随机	🔀
随机播放	🔀
循环播放	🔁
单曲循环	🔂
重新载入	🔃
顺时针	🔃
顺时针垂直箭头	🔃
顺时针方向	🔃
逆时针	🔄
逆时针垂直箭头	🔄
逆时针方向	🔄
亮度	🔅|🔆
亮度低	🔅
低亮度	🔅
亮度高	🔆
高亮度	🔆
已静音的扬声器	🔇
扬声器关闭	🔇
静音	🔇
扬声器	🔈|🔉|🔊
中等音量	🔉
中等音量的扬声器	🔉
大音量	🔊
高音量	🔊
高音量的扬声器	🔊
电池	🔋
电源	🔋|🔌
电量	🔋|🪫
蓄电池	🔋
插头	🔌
电插头	🔌
电源插头	🔌
放大镜	🔍|🔎
带墨水笔的锁	🔏
隐秘	🔏
密钥	🔐
已锁上但挂着钥匙的锁	🔐
钥匙	🔑|🗝
上锁	🔒
合上的锁	🔒
锁	🔒|🔓
锁上	🔒
锁住	🔒
锁头	🔒|🔓
门锁	🔒|🔓
开锁	🔓
打开的锁	🔓
解锁	🔓|🔐
铃铛	🔔
响铃关闭	🔕
禁止响铃	🔕
静音铃铛	🔕
书签	🔖
link	🔗
链接	🔗
单选	🔘
单选按钮	🔘
单选框	🔘
back	🔙
退回	🔙
end	🔚
结束	🔚
on	🔛
开启	🔛
soon	🔜
马上	🔜
top	🔝
十八禁	🔞
成人	🔞
未成年	🔞
未成年不宜	🔞
十	🔟
ABCD	🔠
大写	🔠
大写字母	🔠
拉丁文	🔠|🔡
英文	🔠|🔡
英文大写	🔠
英语	🔠|🔡
abcd	🔡
小写	🔡
小写字母	🔡
英文小写	🔡
一二三四	🔢
数字	🔢
字符	🔣
符号	🔣
abc	🔤
火	🔥
火了	🔥
火焰	🔥
点燃	🔥
燃烧	🔥
着火	🔥
着火了	🔥
手电	🔦
手电筒	🔦
照明	🔦
电筒	🔦
扳手	🔧
螺丝扳手	🔧
铁锤	🔨
锤子	🔨
螺母与螺栓	🔩
螺母及螺栓	🔩
螺母和螺栓	🔩
螺母螺栓	🔩
刀	🔪
厨刀	🔪
小刀	🔪
水果刀	🔪
菜刀	🔪
手枪	🔫
水枪	🔫
滋水枪	🔫
玩具枪	🔫
显微镜	🔬
望远镜	🔭
占卜	🔮
水晶球	🔮
六芒星	🔯
六角星	🔯
魔法阵	🔯
日本初学者标志	🔰
日本新手驾驶标志	🔰
三叉戟	🔱
三叉戟标志	🔱
黑线方形按钮	🔲
黑线正方形按钮	🔲
黑色方形按钮	🔲
黑色正方形按钮	🔲
黑边线方形按钮	🔲
黑边线正方形按钮	🔲
方形按钮	🔳|🔲
白线方形按钮	🔳
白线正方形按钮	🔳
白色方形按钮	🔳
白色正方形按钮	🔳
白边线方形按钮	🔳
白边线正方形按钮	🔳
红色	🔴|🟥
蓝色	🔵|🟦
大菱形	🔶|🔷
橘色大菱形	🔶
橘色菱形	🔶
橘黄色大菱形	🔶
橘黄色菱形	🔶
橙色大菱形	🔶
橙色菱形	🔶
菱形	🔶|🔷
蓝色大菱形	🔷
蓝色菱形	🔷
小方片	🔸|🔹
小菱形	🔸|🔹
橘色小菱形	🔸
橘黄色小菱形	🔸
橙色小菱形	🔸
蓝色小菱形	🔹
三角	🔺|🔻
三角形	🔺|🔻
正三角	🔺
红色正三角	🔺
倒三角	🔻
红色倒三角	🔻
上三角	🔼
调高	🔼
下三角	🔽
调低	🔽
奥姆	🕉
奥姆符号	🕉
和平的象征	🕊
和平象征	🕊
鸽子	🕊
克尔白	🕋
清真	🕌
清真寺	🕌
犹太教会堂	🕍
犹太教堂	🕍
光明节	🕎
一点钟	🕐
时间	🕐|⌚
两点	🕑
两点钟	🕑
三点	🕒
三点钟	🕒
四点	🕓
四点钟	🕓
五点	🕔
五点钟	🕔
六点	🕕
六点钟	🕕
七点	🕖
七点钟	🕖
八点	🕗
八点钟	🕗
九点	🕘
九点钟	🕘
十点	🕙
十点钟	🕙
十一点	🕚
十一点钟	🕚
十二点	🕛
十二点钟	🕛
一点半	🕜
两点半	🕝
三点半	🕞
四点半	🕟
五点半	🕠
六点半	🕡
七点半	🕢
八点半	🕣
九点半	🕤
十点半	🕥
十一点半	🕦
十二点半	🕧
烛光	🕯
烛火	🕯
蜡烛	🕯
台钟	🕰
壁炉钟	🕰
座钟	🕰
钟表	🕰
下水道	🕳
坑	🕳
坑洞	🕳
洞	🕳
悬浮	🕴
浮在地面上的西装男	🕴
女侦探	🕵️‍♀️
侦探	🕵️‍♂️|🕵️‍♀️
男侦探	🕵️‍♂️
蜘蛛	🕷
蛛网	🕸
蜘蛛网	🕸
摇杆	🕹
操控杆	🕹
游戏摇杆	🕹
游戏操控杆	🕹
舞者	🕺
跳舞的男人	🕺
圆珠笔	🖊
画笔	🖌
蜡笔	🖍
手指张开	🖐
手指张开的手	🖐
中指	🖕
举中指	🖕
比中指	🖕
竖中指	🖕
斯波克	🖖
星际迷航	🖖
瓦肯	🖖
瓦肯举手礼	🖖
黑心	🖤
黑色心	🖤
黑色的心	🖤
台式电脑	🖥
显示器	🖥
显示屏	🖥
电脑	🖥
计算机	🖥
印刷机	🖨
打印机	🖨
电脑鼠标	🖱
鼠标	🖱
轨迹球	🖲
一幅画	🖼
带框的画	🖼
带画框的图片	🖼
画框	🖼
卡片索引分隔卡	🗂
卡片存档盒	🗃
卡片盒	🗃
文件柜	🗄
垃圾	🗑
垃圾桶	🗑
垃圾篓	🗑
废纸篓	🗑
线圈本	🗒
线圈笔记本	🗒
线圈日历	🗓
夹钳	🗜
古老的钥匙	🗝
复古钥匙	🗝
旧钥匙	🗝
老式钥匙	🗝
老钥匙	🗝
卷起的报纸	🗞
报纸卷	🗞
匕首	🗡
短刀	🗡
短剑	🗡
剪影	🗣|👤|👥|🫂
头部剪影	🗣
讲话	🗣
讲话者	🗣
讲话者的头部剪影	🗣
朝左的对话气泡	🗨
愤怒对话框	🗯
愤怒对话气泡	🗯
投票	🗳
投票箱	🗳
选票	🗳
世界地图	🗺
map	🗺️
地图	🗺️
富士山	🗻
东京塔	🗼
自由女神	🗽
自由女神像	🗽
日本剪影	🗾
日本地图	🗾
复活岛	🗿
复活节岛	🗿
复活节岛石像	🗿
摩艾石像	🗿
笑脸	😀
呲牙	😁
咧嘴笑	😁
嘻嘻	😁
嘿嘿	😁|😊
激动	😂
笑出眼泪	😂|🤣
笑哭	😂|🤣
笑哭了	😂|🤣
露齿笑	😃
哈	😄
哈哈	😄
大笑	😄
开心	😄
憨憨	😄
笑	😄|😊
高兴	😄
汗	😅|😓|😰
流汗	😅
苦笑	😅
傻笑	😆
好耶	😆
眯眼笑	😆
笑晕	😆
笑死	😆
光环	😇
微笑天使	😇
微笑恶魔	😈
微笑的恶魔	😈
恶魔	😈|👿
恶魔微笑	😈
魔鬼	😈|👿
媚眼	😉
抛媚眼	😉
眨眼	😉
微笑	😊
脸红	😊|😳
yummy	😋
好吃	😋
好好吃	😋
津津有味	😋
美味	😋
如释重负	😌
松了一口气	😌
松了口气	😌
松口气	😌
羞涩	😌|😳
释然	😌
喜欢	😍|♥️
花痴	😍
墨镜	😎|🕶
墨镜笑脸	😎
太阳镜	😎|🕶
自信	😎
哼哼	😏
得意	😏
得意地笑	😏
平静	😐
无言	😑
无语	😑
面无表情	😑
不屑	😒|😕
嫌弃	😒
郁闷	😒
鄙视	😒|👎
倒霉	😓
冒汗	😓|😰|😅
尴尬	😓|😅|😰
低头忧伤	😔
失落	😔
心事重重	😔
忧伤	😔
忧虑	😔
困扰	😕
焦头烂额	😖
纠结	😖
噘嘴	😗|🙎‍♂️|🙎‍♀️
亲一下	😘
亲一个	😘
亲亲	😘|😚|😙
亲你	😘
啵一个	😘
啵儿一个	😘
飞吻	😘
微笑亲亲	😙
羞涩亲亲	😚
吐舌	😛|😜|😝
吐舌头	😛|😜|😝
略略略	😛|😜|😝
单眼吐舌	😜
捣蛋	😜
淘气	😜
调皮	😜
嘲笑	😝
开玩笑	😝
眯眼	😝
眯眼吐舌	😝
失望	😞
难过	😞
担心	😟
担忧	😟
微怒	😠
angry	😡|😠|💢
发火	😡
发飙	😡
怒	😡|😠|💢
怒火中烧	😡
愤怒	😡|😠|💢
气人	😡|😠
烦死	😡
烦死了	😡
烦死人	😡
烦死啦	😡
生气	😡|😠|💢
哭	😢|😭
哭了	😢|😭
哭泣	😢|😭
流泪	😢|😭
流眼泪	😢|😭
不舒服	😣
忍耐	😣
难受	😣
傲慢	😤
哼	😤
趾高气昂	😤
鼻子冒气	😤
失望但如释重负	😥
难过但释然	😥
目瞪口呆	😦
可怕	😨|😱
害怕	😨|😱
怕	😨|😱
恐惧	😨|😱
服了	😩|🤦‍♂️|🤦‍♀️
焦躁	😩
疲倦	😩
疲劳	😩
疲惫	😩
困乏	😪
困困	😪
打瞌睡	😪
瞌睡	😪
抓狂	😫
咬牙	😬
咬牙切齿	😬
龇牙	😬
龇牙咧嘴	😬
大哭	😭
放声大哭	😭
痛哭	😭
吃惊	😮|😯|😲|😦|😧
哦	😮
惊讶	😮|😯|😲|😦|😧
叹气	😮‍💨
呼气	😮‍💨|🫁
唉	😮‍💨
无奈	😮‍💨
好奇	😯
冒汗焦虑	😰
冷汗	😰|😓|😅
焦虑	😰|😩
紧张	😰
吓人	😱
吓死	😱
吓死了	😱
尖叫	😱
恐怖	😱
恐惧尖叫	😱
惊声尖叫	😱
啊	😲|😦|😧
震惊	😲|😦|😧
害羞	😳
愣住	😳
瞪眼	😳
睡了	😴|💤
睡眠	😴|💤
睡着	😴|💤
睡着了	😴|💤
睡觉	😴|💤|🛌
头晕	😵|😵‍💫
头晕目眩	😵|😵‍💫|💫
头晕眼花	😵|😵‍💫
我晕	😵|😵‍💫
晕	😵|😵‍💫
晕了	😵|😵‍💫
晕头	😵|😵‍💫
晕头转向	😵|😵‍💫
眼冒金星	😵
沉默	😶
没嘴	😶
没有嘴	😶
没有嘴巴	😶
云中	😶‍🌫️
云中的脸	😶‍🌫️
迷茫	😶‍🌫️
口罩	😷
戴口罩	😷
生病	😷
微笑猫	😸
微笑猫脸	😸
微笑的猫	😸
喜极而泣	😹
笑中带泪	😹
笑出眼泪的猫	😹
开心猫	😺
开心猫脸	😺
开心的猫	😺
花痴猫	😻
花痴猫脸	😻
花痴的猫	😻
得意猫	😼
得意猫脸	😼
得意的猫	😼
亲亲猫	😽
亲亲猫脸	😽
亲亲的猫	😽
噘嘴猫	😾
噘嘴猫脸	😾
噘嘴的猫	😾
生气猫	😾
生气猫脸	😾
生气的猫	😾
哭泣猫	😿
哭泣猫脸	😿
哭泣的猫	😿
害怕猫	🙀
害怕猫脸	🙀
害怕的猫	🙀
恐惧猫	🙀
恐惧猫脸	🙀
恐惧的猫	🙀
一脸不悦	🙁
不开心	🙁
不悦	🙁
不满	🙁
不高兴	🙁
微微不满	🙁
心情不好	🙁
呵呵	🙂|🙃
摇头	🙂‍↔️
点头	🙂‍↕️
倒脸	🙃
颠倒	🙃
颠倒的脸	🙃
白眼	🙄
白眼儿	🙄
翻白眼	🙄
翻白眼儿	🙄
不	🙅‍♂️|🙅‍♀️
不可以	🙅‍♂️|🙅‍♀️
不同意	🙅‍♂️|🙅‍♀️
不行	🙅‍♂️|🙅‍♀️
反对	🙅‍♂️|🙅‍♀️
打咩	🙅‍♂️|🙅‍♀️
拒绝	🙅‍♂️|🙅‍♀️
禁止手势	🙅‍♂️|🙅‍♀️
可以	🙆‍♂️|🙆‍♀️|🉑
同意	🙆‍♂️|🙆‍♀️
不好意思	🙇‍♂️|🙇‍♀️
对不起	🙇‍♂️|🙇‍♀️
跪求	🙇‍♂️|🙇‍♀️
道歉	🙇‍♂️|🙇‍♀️
鞠躬	🙇‍♂️|🙇‍♀️
三不猴	🙈|🙉|🙊
不看	🙈
我不看	🙈
捂住眼	🙈
捂住眼睛	🙈
捂眼	🙈
捂眼睛	🙈
蒙住眼睛	🙈
蒙眼	🙈
蒙眼睛	🙈
闭上眼睛	🙈
闭眼	🙈
非礼勿看	🙈
非礼勿视	🙈
不听	🙉
堵上耳朵	🙉
堵住耳朵	🙉
堵着耳朵	🙉
堵耳	🙉
堵耳朵	🙉
我不听	🙉
捂上耳朵	🙉
捂住耳朵	🙉
捂着耳朵	🙉
捂耳	🙉
捂耳朵	🙉
非礼勿听	🙉
非礼勿言	🙊
举手	🙋‍♂️|🙋‍♀️
我知道	🙋‍♂️|🙋‍♀️
这个我知道	🙋‍♂️|🙋‍♀️
举双手	🙌
扬手欢呼	🙌
皱着眉头	🙍‍♂️|🙍‍♀️
皱着眉头的人	🙍‍♂️|🙍‍♀️
噘嘴的人	🙎‍♂️|🙎‍♀️
双手合十	🙏
合十	🙏
合掌	🙏
感谢	🙏
拜托	🙏
求你了	🙏|🥺
求求你	🙏|🥺
求求你了	🙏|🥺
祈求	🙏
祈祷	🙏
谢谢	🙏
超度	🙏
阿弥陀佛	🙏
rocket	🚀
火箭	🚀
直升机	🚁
直升飞机	🚁
火车头	🚂
蒸汽火车	🚂
轨道车	🚃
列车	🚄|🚅
动车	🚄|🚅
新干线	🚄|🚅
高速列车	🚄|🚅
高铁	🚄|🚅
子弹头高速列车	🚅
高速子弹头列车	🚅
火车	🚆
绿皮火车	🚆
地下铁路	🚇
地铁	🚇|Ⓜ️
轻轨	🚈
轻轨电车	🚈
火车站	🚉
站台	🚉
车站	🚉
有轨电车	🚋
公交车	🚌|🚍
公共汽车	🚌|🚍
公车	🚌|🚍
大巴	🚌|🚍
巴士	🚌|🚍
无轨电车	🚎
电车	🚎
公交站	🚏
公交车站	🚏
公共汽车站	🚏
五菱	🚐
五菱宏光	🚐
小巴	🚐
面包车	🚐
急救车	🚑
救护车	🚑
救火车	🚒
消防车	🚒
警车	🚓|🚔
报警	🚔
出租车	🚕|🚖
的士	🚕|🚖
小汽车	🚗|🚘
小轿车	🚗|🚘
汽车	🚗|🚘
私家车	🚗|🚘
车	🚗
轿车	🚗|🚘
SUV	🚙
休闲车	🚙
越野车	🚙
运动型多用途车	🚙
物流	🚚
货车	🚚
送货车	🚚
卡车	🚛
大卡车	🚛
拖车	🚛
拖拉机	🚜
单轨	🚝
单轨铁路	🚝
山区铁路	🚞
空中轨道列车	🚟
空轨	🚟
高架铁路	🚟
缆车	🚠|🚡
高山索道	🚠
空中缆车	🚡
海运	🚢
船	🚢
轮船	🚢
邮轮	🚢
划船	🚣‍♂️|🚣‍♀️
划艇	🚣‍♂️|🚣‍♀️
泛舟	🚣‍♂️|🚣‍♀️
快艇	🚤
赛艇	🚤
交通信号灯	🚥|🚦
交通灯	🚥|🚦
信号灯	🚥|🚦
红绿灯	🚥|🚦
前方施工	🚧
施工中	🚧
施工符号	🚧
路障	🚧
报警灯	🚨
警灯	🚨
警车旋转灯	🚨
警车灯	🚨
三角旗	🚩
旗子	🚩
旗帜	🚩
旗杆上的三角旗	🚩
旗杆上的旗帜	🚩
红色旗帜	🚩
房门	🚪
门	🚪
门子	🚪
不准	🚫
不许	🚫
严禁	🚫|🈲
禁止	🚫|🈲
一支烟	🚬
卷烟	🚬
吸烟	🚬
抽烟	🚬
来一根	🚬
来一根儿	🚬
点烟	🚬
烟	🚬
烤烟	🚬
纸烟	🚬
香烟	🚬
禁止吸烟	🚭
禁烟	🚭
请勿吸烟	🚭
丢垃圾	🚮
倒垃圾	🚮
垃圾丢弃处	🚮
垃圾入篓	🚮
垃圾入篓标志	🚮
扔垃圾	🚮
勿丢垃圾	🚯
勿扔垃圾	🚯
禁丢垃圾	🚯
禁止丢垃圾	🚯
禁止乱丢垃圾	🚯
禁止乱扔垃圾	🚯
禁止扔垃圾	🚯
请勿乱丢垃圾	🚯
请勿乱扔垃圾	🚯
水龙头	🚰
直饮水	🚰
饮水处	🚰
饮用水	🚰
请勿饮用	🚱
非饮用水	🚱
单车	🚲
脚踏车	🚲
自行车	🚲
禁止自行车	🚳
禁止骑行	🚳
禁止骑车	🚳
骑单车	🚴‍♂️|🚴‍♀️
骑自行车	🚴‍♂️|🚴‍♀️
骑车	🚴‍♂️|🚴‍♀️
山地自行车	🚵‍♂️|🚵‍♀️
山地车	🚵‍♂️|🚵‍♀️
骑山地车	🚵‍♂️|🚵‍♀️
向左走	🚶‍♂️|🚶‍♀️
往左走	🚶‍♂️|🚶‍♀️
徒步	🚶‍♂️|🚶‍♀️
行走	🚶‍♂️|🚶‍♀️
走路	🚶‍♂️|🚶‍♀️
向右走	🚶‍♂️‍➡️|🚶‍♀️‍➡️
往右走	🚶‍♂️‍➡️|🚶‍♀️‍➡️
禁止行人	🚷
禁止行人通行	🚷
儿童过街	🚸
学童过街	🚸
当心儿童	🚸
注意儿童	🚸
男厕	🚹
男厕所	🚹
男士	🚹
男士标志	🚹
男士符号	🚹
男洗手间	🚹
女厕	🚺
女厕所	🚺
女士	🚺
女士标志	🚺
女士符号	🚺
女洗手间	🚺
卫生间	🚻|🚾
厕所	🚻|🚾
洗手间	🚻
盥洗室	🚻
哺乳室	🚼
婴儿标志	🚼
婴儿符号	🚼
母婴室	🚼
育婴室	🚼
马桶	🚽
WC	🚾
喷头	🚿
淋浴	🚿
泡澡	🛀
泡澡的人	🛀
洗澡	🛀
洗澡的人	🛀
浴缸	🛁
安检	🛂
护照检查	🛂
护照检查处	🛂
检查护照	🛂
海关	🛃
海关检查	🛃
行李领取	🛄
行李领取处	🛄
领取行李	🛄
寄存行李	🛅
行李寄存	🛅
行李寄存处	🛅
沙发	🛋
沙发和灯	🛋
床上休息	🛌
睡觉的人	🛌
躺下	🛌
躺在床上的人	🛌
购物袋	🛍
服务铃	🛎
床	🛏
祷告	🛐
停止标志	🛑
停车标志	🛑
停车让行	🛑
手推车	🛒
购物车	🛒
佛寺	🛕
印度寺庙	🛕
印度庙	🛕
庙宇	🛕
小屋	🛖
棚屋	🛖
草屋	🛖
蒙古包	🛖
升降机	🛗
电梯	🛗
Wi-Fi	🛜
wireless	🛜
无线局域网	🛜
无线网	🛜
无线网络	🛜
网络	🛜
滑梯	🛝
滑滑梯	🛝
车轮	🛞
车轮子	🛞
车轱辘	🛞
轮子	🛞
轮胎	🛞
轱辘	🛞
救生	🛟
救生圈	🛟
泳圈	🛟
游泳圈	🛟
工具	🛠
锤子与扳手	🛠
锤子和扳手	🛠
锤子扳手	🛠
盾牌	🛡
防具	🛡
油桶	🛢
公路	🛣
高速	🛣
高速公路	🛣
铁轨	🛤
摩托艇	🛥
小型飞机	🛩
航班起飞	🛫
起飞	🛫
飞机起飞	🛫
着陆	🛬
航班降落	🛬
降落	🛬
飞机着陆	🛬
卫星	🛰
客船	🛳
客轮	🛳
滑板车	🛴
小型摩托车	🛵
小电驴	🛵
电动车	🛵
电瓶车	🛵
独木舟	🛶
乘雪橇	🛷
坐雪橇	🛷
雪橇	🛷
驾雪橇	🛷
UFO	🛸
不明飞行物	🛸
飞碟	🛸
滑板	🛹
三脚鸡	🛺
三蹦子	🛺
三轮摩托车	🛺
三轮车	🛺
嘟嘟车	🛺
自动人力车	🛺
皮卡	🛻
皮卡车	🛻
四轮滑冰鞋	🛼
旱冰	🛼
旱冰鞋	🛼
滑旱冰	🛼
轮滑	🛼
轮滑鞋	🛼
橘色	🟠|🟧
橘黄色	🟠|🟧
橙色	🟠|🟧
黄色	🟡|🟨
绿色	🟢|🟩
紫色	🟣|🟪
棕色	🟤|🟫
等于	🟰
等于号	🟰
等号	🟰
粗等号	🟰
兰花指	🤌
手指	🤌
手指捏合	🤌
捏合	🤌
捏手指	🤌
白心	🤍
白色心	🤍
白色的心	🤍
棕心	🤎
棕色心	🤎
棕色的心	🤎
一点	🤏|🕐
一点儿	🤏
一点点	🤏
少许	🤏
少量	🤏
拿捏	🤏
不能说	🤐
不要说	🤐
不说	🤐|🙊
保密	🤐
守密	🤐
封口	🤐
拉上拉链	🤐
禁言	🤐
秘密	🤐|㊙️
闭嘴	🤐
发财	🤑
拜金	🤑
见钱眼开	🤑
财迷	🤑
钱眼	🤑
钱眼儿	🤑
体温计	🤒
发烧	🤒
量体温	🤒
书呆子	🤓
书呆子脸	🤓
nerd	🤓
不明白	🤔
不理解	🤔
可能	🤔
呃	🤔
奇怪	🤔
奇怪了	🤔
容我三思	🤔
思考	🤔
想一想	🤔
想想	🤔
我再想想	🤔
我想想	🤔
深思	🤔
深思的脸	🤔
疑惑	🤔
疑问	🤔
受伤	🤕|❤️‍🩹
绷带	🤕
缠满绷带	🤕
缠绷带	🤕
负伤	🤕
机器人	🤖
抱抱	🤗|🫂
拥抱	🤗|🫂
摇滚	🤘
摇滚手势	🤘
金属礼	🤘
六六六	🤙
回电话	🤙
打电话	🤙
打电话给我	🤙
打给我	🤙
给我打电话	🤙
手背	🤚
右拳	🤛
右钩拳	🤛
左向拳	🤛
朝左的拳头	🤛
右向拳	🤜
左拳	🤜
左钩拳	🤜
朝右的拳头	🤜
合作	🤝
合作愉快	🤝
握手	🤝
搞定	🤝
交叉的手指	🤞
手指交叉	🤞
我爱你	🤟
爱你手势	🤟
爱你的手势	🤟
牛仔	🤠
牛仔帽	🤠
牛仔帽脸	🤠
小丑	🤡
小丑脸	🤡
反胃	🤢
恶心	🤢
想吐	🤢
打滚	🤣
打滚儿	🤣
笑得打滚	🤣
笑得打滚儿	🤣
笑得满地打滚	🤣
笑得满地打滚儿	🤣
笑翻	🤣
笑翻了	🤣
口水	🤤
垂涎三尺	🤤
流口水	🤤
乌索普	🤥
乱讲	🤥
匹诺曹	🤥
撒谎	🤥
胡说	🤥
说谎	🤥
长鼻	🤥
长鼻子	🤥
骗人	🤥
骗人布	🤥
骗子	🤥
我服了	🤦‍♂️|🤦‍♀️
我服了你	🤦‍♂️|🤦‍♀️
我服了你了	🤦‍♂️|🤦‍♀️
手掌捂脸	🤦‍♂️|🤦‍♀️
扶额	🤦‍♂️|🤦‍♀️
捂脸	🤦‍♂️|🤦‍♀️
服了你了	🤦‍♂️|🤦‍♀️
喷嚏	🤧
感冒	🤧|😷
打喷嚏	🤧
擤鼻子	🤧
擤鼻涕	🤧
鼻涕	🤧
鼻炎	🤧
挑眉	🤨
眉毛上挑	🤨
眉毛上挑的脸	🤨
好崇拜	🤩
好崇拜哦	🤩
崇拜	🤩
星星眼	🤩
眼冒星星	🤩
傻瓜	🤪
傻瓜脸	🤪
滑稽	🤪
鬼脸	🤪
别说话	🤫
嘘	🤫
安静	🤫
安静的脸	🤫
小声	🤫
小声点	🤫
小声点儿	🤫
小点儿声	🤫
小点声	🤫
NMSL	🤬
你妈死了	🤬
傻逼	🤬
出口成脏	🤬
咒骂	🤬
操你妈	🤬
肏你妈	🤬
脏话	🤬
说脏话	🤬
骂人	🤬
好笑	🤭
捂上嘴巴	🤭|🙊
捂住嘴巴	🤭|🙊
捂嘴	🤭|🙊
捂嘴巴	🤭|🙊
捂嘴笑	🤭
捂着嘴巴	🤭|🙊
捂着嘴笑	🤭
吐	🤮
吐了	🤮
吐出来	🤮
呕吐	🤮
我吐	🤮
我吐了	🤮
大脑爆炸	🤯
头爆炸	🤯
爆头	🤯
爆炸头	🤯
爆炸脑	🤯
脑子爆炸	🤯
脑爆炸	🤯
脑袋爆炸	🤯
大肚子	🤰|🫃
孕妇	🤰
孕肚	🤰
怀了	🤰
怀孕	🤰
哺乳	🤱|👩‍🍼
喂奶	🤱
母乳	🤱
母乳喂养	🤱
双手	🤲
双手手掌向上	🤲
捧着	🤲
