he	他|氦
mourner	哀悼者
mourners	哀悼者
mournful	悲伤的
mournfully	悲伤地
mournfulness	悲伤
mourning	哀悼
mourns	哀悼
mouse	鼠标
mouser	捕鼠者
mouses	鼠标
mousetrap	捕鼠器
mousiness	鼠灰色
mousse	慕斯
moustache	胡子
mousy	鼠灰色
mouth	嘴
mouthe	穆特
mouthed	说出的
mouther	说话者
mouthes	嘴
mouthful	一口
mouthiness	多嘴
mouthing	说话
mouthpiece	话筒
mouths	嘴
mouthy	多嘴的
mouton	穆顿
mov	移动
movability	可动性
movable	可移动的
movably	可移动地
move	移动
moveable	可移动的
moved	移动的
movement	运动
movements	动作
mover	推动者
movers	搬运工
moves	动作
movie	电影
moviebot	电影机器人
moviedom	电影界
moviepilot	电影领航员
movies	电影
moving	移动的
movings	移动
mow	割草
mowed	割过草
mower	割草机
mowing	割草
mows	割草
moxa	艾草
moxibustion	艾灸
moxie	勇气
moyer	莫耶尔
mozambique	莫桑比克
mozart	莫扎特
mozilla	火狐
mozilla firefox	火狐浏览器
mozzarella	马苏里拉
mp	音频格式
mp	视频格式
mpa	兆帕
mpeg	视频编码
mplayerx	播放器
mpls	多协议标签交换
mpu	微处理器
mpv	媒体播放器
mrna	信使rna
messenger rna	信使rna
mrs.	夫人
ms	女士
ms-dos	ms-dos
msg	消息
microsoft visual c++	visual c++
music television	音乐电视
mu	μ
much	许多
mucilage	粘液
mucilaginous	粘稠的
muck	淤泥
mucker	伙伴
mucking	挖掘
muckrake	揭露
muckraker	揭发者
muckworm	守财奴
mucky	泥泞的
mucosity	粘性
mucous	粘液的
mucus	粘液
mud	泥
mudd	马德
muddied	浑浊的
muddily	模糊地
muddiness	浑浊
muddle	混乱
muddled	混乱的
muddlehead	糊涂虫
muddleheaded	糊涂的
muddler	搅局者
muddlers	搅局者
muddles	混乱
muddling	搅乱
muddy	泥泞的
mudfish	泥鳅
mudflats	滩涂
mudguard	挡泥板
mudsill	底梁
mudslinger	诽谤者
mudslinging	诽谤
mudstone	泥岩
mudvayne	泥巴乐队
mueller	米勒
muenster	明斯特干酪
muezzin	宣礼员
muff	失误
muffin	松饼
muffins	松饼
muffle	消音
muffled	消音的
muffler	消音器
muffles	消音
muffling	消音中
muffs	失误
mufti	便服
mug	马克杯
mugged	被抢
mugginess	闷热
mugging	抢劫
muggins	傻瓜
muggy	闷热的
mugs	马克杯
mugwort	艾草
muhammad	穆罕默德
muir	缪尔
mukden	奉天
mukluk	毛靴
mulatto	混血儿
mulberries	桑葚
mulberry	桑树
mulch	覆盖物
mulct	罚款
mule	骡子
mules	骡子
muley	无角牛
mulish	固执的
mull	思索
mullah	毛拉
mullen	马伦
muller	研磨器
mullet	鲻鱼
mulligan	杂烩
mullion	竖框
mullioned	有竖框的
multangular	多角的
multi	多
multibit	多位
multibus	多总线
multibyte	多字节
multicast	组播
multicasting	组播
multicasts	组播
multicellular	多细胞
multicellularity	多细胞性
multichannel	多通道
multicomputer	多计算机
multics	多路信息计算系统
multics	多路信息计算系统
multicultural	多元文化
multidimensional	多维
multidirectional	多向
multidisciplinary	多学科
multifaceted	多面
multifarious	多样
multiform	多形
multiformity	多形性
multifunction	多功能
multifunctional	多功能
multilane	多车道
multilateral	多边
multilayer	多层
multilayered	多层
multilevel	多级
multilingual	多语言
multilingualization	多语言化
multimedia	多媒体
multimillion	数百万
multimillionaire	千万富翁
multimoding	多模
multinational	跨国
multiparous	多产的
multiped	多足的
multipexer	多路复用器
multiplayer	多人游戏
multiple	多个
multiples	多个
multiplex	多路复用
multiplexed	多路复用的
multiplexer	多路复用器
multiplexers	多路复用器
multiplexes	多路复用
multiplexing	多路复用
multiplexor	多路复用器
multiplexors	多路复用器
multiplicand	被乘数
multiplicands	被乘数
multiplication	乘法
multiplications	乘法
multiplicative	乘法的
multiplicatives	乘法的
multiplicator	乘法器
multiplicity	多样性
multiplied	乘以
multiplier	乘数
multipliers	乘数
multiplies	乘
multiply	乘
multiplying	乘
multipolar	多极
multiprocess	多进程
multiprocessing	多处理
multiprocessor	多处理器
multiprocessors	多处理器
multiprogram	多程序
multiprogrammed	多程序
multiprogramming	多道程序
multipurpose	多用途
multiracial	多种族
multistage	多级
multistory	多层
multisync	多同步
multitasking	多任务
multithread	多线程
multitude	众多
multitudes	众多
multitudinous	众多的
multiuser	多用户
multivalence	多价
multivalent	多价的
multivalve	多阀
multivariate	多元
multivator	多变量器
multiversity	多元大学
multivitamin	多种维生素
multivocal	多义的
multivolume	多卷
multiword	多词
mum	妈妈
mumbai	孟买
mumble	咕哝
mumbled	咕哝的
mumbler	咕哝者
mumblers	咕哝者
mumbles	咕哝
mumbletypeg	投刀游戏
mumbling	咕哝的
mumblings	咕哝声
mumetal	镍铁合金
mumford	芒福德
mummer	哑剧演员
mummery	哑剧表演
mummies	木乃伊
mummification	木乃伊化
mummify	制成木乃伊
mummy	木乃伊
mump	装病
mumpish	闷闷不乐的
munch	咀嚼
munchausen	明希豪森
munched	咀嚼过的
munchies	零食
munching	咀嚼的
muncie	曼西
mundane	平凡的
mundanely	平凡地
mundt	蒙德
mung	绿豆
mungo	芒戈
munich	慕尼黑
municipal	市政
municipalities	市政当局
municipality	市政当局
municipally	市政地
munificence	慷慨
munificent	慷慨的
muniment	契据
munition	军火
munitions	军火
munroe	门罗
munsey	芒西
munson	芒森
muon	μ子
muong	芒族
murakami	村上
mural	壁画
murder	谋杀
murdered	被谋杀
murderer	凶手
murderers	凶手
murderess	女凶手
murdering	谋杀中
murderous	凶残的
murderously	凶残地
murders	谋杀案
murex	骨螺
muriel	穆里尔
murine	鼠的
murk	昏暗
murkier	更昏暗
murkily	昏暗地
murkiness	昏暗
murky	昏暗的
murmur	低语
murmured	低语过
murmurer	低语者
murmuring	低语着
murmurous	低语的
murmurs	低语
murphy	墨菲
murrain	瘟疫
murray	默里
murrow	默罗
muscadine	圆叶葡萄
muscat	马斯喀特
muscle	肌肉
muscled	有肌肉的
muscleless	无肌肉的
muscles	肌肉
muscling	用肌肉
muscovado	粗糖
muscovite	莫斯科人
muscovy	莫斯科
muscular	肌肉发达的
muscularity	肌肉发达
muscularly	肌肉发达地
musculature	肌肉系统
muse	缪斯
mused	沉思
museful	沉思的
muses	缪斯
musette	小风笛
museum	博物馆
museums	博物馆
mush	糊状物
mushily	糊状地
mushroom	蘑菇
mushroomed	迅速增长
mushrooming	迅速增长中
mushrooms	蘑菇
mushy	糊状的
music	音乐
musica	音乐
musical	音乐的
musicale	音乐会
musically	音乐上
musicals	音乐剧
musicfree	音乐自由
musician	音乐家
musicianly	音乐家般的
musicians	音乐家
musicologist	音乐学家
musicology	音乐学
musicotherapy	音乐疗法
music television	音乐电视
musing	沉思
musings	沉思
musixmatch	音乐匹配
musk	麝香
muskeg	沼泽
muskegon	马斯基根
muskellunge	北美狗鱼
musket	火枪
musketeer	火枪手
musketry	枪法
muskets	火枪
muskiness	麝香味
muskmelon	甜瓜
muskox	麝牛
muskoxen	麝牛
muskrat	麝鼠
muskrats	麝鼠
musks	麝香
musky	麝香的
muslim	穆斯林
muslims	穆斯林
muslin	平纹细布
musquash	麝鼠
muss	弄乱
mussel	贻贝
mussels	贻贝
mussily	凌乱地
mussolini	墨索里尼
mussolinis	墨索里尼
mussorgsky	穆索尔斯基
mussy	凌乱的
must	必须
must've	必须已
mustache	胡子
mustached	有胡子的
mustaches	胡子
mustang	野马
mustard	芥末
muster	集合
mustiness	霉味
mustn't	不准
musts	必须
musty	发霉的
mutability	可变性
mutable	可变的
mutableness	可变性
mutagen	诱变剂
mutagenic	诱变的
mutandis	相应变更
mutant	突变体
mutants	突变体
mutate	突变
mutated	突变的
mutates	突变
mutating	突变中
mutation	突变
mutations	突变
mutatis	相应变更
mutative	突变的
mutch	帽子
mute	哑的
muted	静音的
mutely	无声地
muteness	沉默
mutex	互斥锁
mutilate	残害
mutilated	残缺的
mutilates	残害
mutilating	残害
mutilation	毁伤
mutilator	毁伤者
mutineer	叛变者
muting	静音
mutinies	叛变
mutinous	叛变的
mutiny	哗变
mutism	缄默症
mutoscope	活动电影机
mutt	杂种狗
mutter	咕哝
muttered	咕哝
mutterer	咕哝者
mutterers	咕哝者
muttering	咕哝
mutters	咕哝
mutton	羊肉
muttons	羊肉
muttony	羊肉味的
mutual	相互的
mutualism	互利共生
mutuality	相互关系
mutually	相互
muumuu	穆穆袍
mux	混音器
muzak	背景音乐
muze	缪斯
muzo	穆佐
muzz	马兹
muzzle	口套
muzzles	口套
muzzy	模糊的
mvc	模型视图控制器
model-view-controller	模型视图控制器
mvnd	maven守护进程
mvp	最有价值球员
mvvm	模型视图视图模型
model-view-viewmodel	模型视图视图模型
mx player	mx播放器
my	我的
myanmar	缅甸
mybatis-plus	mybatis增强
mycelial	菌丝的
mycelium	菌丝体
mycenae	迈锡尼
mycenaean	迈锡尼的
mycetozoan	黏菌
mycologist	真菌学家
mycology	真菌学
mycosis	真菌病
myelitis	脊髓炎
myers	迈尔斯
myna	八哥
mynheer	先生
myocardial	心肌的
myokinesimeter	肌力计
myope	近视者
myopia	近视
myopic	近视的
myra	迈拉
myriad	无数
myriapod	多足类
myrmidon	仆从
myron	迈伦
myrrh	没药
myrtle	桃金娘
myself	我自己
mysimon	迈西蒙
mysore	迈索尔
mysteries	谜团
mysterious	神秘的
mysteriously	神秘地
mysteriousness	神秘性
mystery	谜
mystic	神秘的
mystical	神秘的
mysticism	神秘主义
mystics	神秘主义者
mystification	迷惑
mystify	使困惑
mystique	神秘感
myth	神话
mythical	神话的
mythicism	神话主义
mythological	神话的
mythologies	神话学
mythologist	神话学家
mythology	神话学
mythos	神话体系
myths	神话
myxoma	黏液瘤
ménage	家庭
nab	逮捕
nabe	社区
nabisco	纳贝斯克
nabla	微分算子
nablas	微分算子
naboth	纳博特
nacarat	橘红色
nacelle	机舱
nacre	珍珠母
nacred	珍珠母的
nacreous	珍珠母的
nadia	娜迪亚
nadine	纳丁
nadir	最低点
naevus	痣
nag	唠叨
nagasaki	长崎
nagged	被唠叨
nagging	唠叨的
nagoya	名古屋
nags	唠叨
nagy	纳吉
nahum	那鸿
naiad	水仙女
nail	钉子
nailed	钉牢
nailer	钉工
nailhead	钉头
nailing	钉牢
nails	钉子
nair	奈尔
nairobi	内罗毕
naive	天真的
naively	天真地
naiveness	天真
naivete	天真
nakamura	中村
nakayama	中山
naked	赤裸的
nakedly	赤裸地
nakedness	赤裸
nakhodka	纳霍德卡
nakoma	纳科马
namable	可命名的
name	名字
nameable	可命名的
namecheap	域名便宜
named	命名的
nameless	无名的
namelessly	无名地
namely	即
nameplate	铭牌
namer	命名者
namers	命名者
names	名字
namesake	同名者
namesakes	同名者
namesilo	域名西洛
namespace	命名空间
nametag	姓名牌
namibia	纳米比亚
naming	命名
nan	奶奶
nan	南
nancy	南希
nand	与非
nanette	娜内特
nanking	南京
nanny	保姆
nano	纳米
nanoinstruction	微指令
nanoinstructions	微指令
nanometer	纳米
nanometers	纳米
nanook	纳努克
nanoprogram	纳米程序
nanoprogramming	纳米编程
nanosecond	纳秒
nanoseconds	纳秒
nanostore	纳米商店
nanostores	纳米商店
nanotechnology	纳米技术
nanovoltmeter	纳伏表
nantucket	楠塔基特
nantz	南茨
naomi	娜奥米
nap	小睡
napa	纳帕
napalm	凝固汽油
nape	颈背
napery	餐巾布
naphtha	石脑油
naphthol	萘酚
napkin	餐巾
napkins	餐巾
naples	那不勒斯
napoleon	拿破仑
napoleonic	拿破仑的
napoleonize	拿破仑化
napoleonizes	拿破仑化
nappe	推覆体
napper	打盹者
nappy	尿布
naps	小睡
nara	奈良
narbonne	纳博讷
narc	缉毒警
narceine	那碎因
narcissism	自恋
narcissist	自恋者
narcissistic	自恋的
narcisssus	水仙
narcissus	水仙
narcoanalysis	麻醉分析
narcolepsy	嗜睡症
narcomania	麻醉剂瘾
narcosis	麻醉
narcotherapy	麻醉疗法
narcotic	麻醉剂
narcotics	麻醉品
narcotine	那可丁
narcotise	麻醉
narcotism	麻醉状态
narcotize	麻醉
nard	甘松
naris	鼻孔
nark	密探
narnia	纳尼亚
narragansett	纳拉甘西特
narrate	叙述
narration	叙述
narrative	叙事
narratives	叙事
narrator	叙述者
narrow	狭窄
narrow ai	弱人工智能
narrowed	变窄
narrower	更窄
narrowest	最窄
narrowing	收窄
narrowly	勉强
narrowness	狭隘
narrows	海峡
nartb	无
nary	几乎没有
nas	网络附加存储
network attached storage	网络附加存储
nasa	美国宇航局
nasal	鼻音
nasalise	鼻音化
nasality	鼻音性
nasalization	鼻音化
nasalize	使鼻音化
nasally	用鼻音
nasas	美国宇航局
nascar	纳斯卡
nascence	初生
nascent	新生的
nasdaq	纳斯达克
nash	纳什
nashua	纳舒厄
nashville	纳什维尔
nask	纳斯科
nassau	拿骚
nastier	更恶劣
nastiest	最恶劣
nastily	恶劣地
nastiness	恶劣
nasturtium	旱金莲
nasty	恶劣的
nat	纳特
nat	纳特
natal	出生的
natalie	娜塔莉
natality	出生率
natant	漂浮的
natasha	娜塔莎
natation	游泳
natatory	游泳的
natchez	纳奇兹
nate	内特
nathan	内森
nathaniel	纳撒尼尔
nation	国家
national	国家的
nationalise	国有化
nationalism	民族主义
nationalist	民族主义者
nationalistic	民族主义的
nationalists	民族主义者
nationalities	国籍
nationality	国籍
nationalization	国有化
nationalize	国有化
nationalized	国有化
nationalizes	国有化
nationalizing	国有化
nationally	全国地
nationals	国民
nationhood	国家地位
nations	国家
nationwide	全国性
native	本地人
native american	美洲原住民
natively	本地地
natives	本地人
nativism	本土主义
nativist	本土主义者
nativity	诞生
nato	北约
north atlantic treaty organization	北约
natos	北约
natrium	钠
natron	泡碱
natter	闲聊
nattily	整洁地
nattiness	整洁
natty	整洁的
natural	自然的
naturalism	自然主义
naturalist	自然主义者
naturalistic	自然主义的
naturalization	入籍
naturally	自然地
naturalness	自然
naturals	天才
nature	自然
natured	天性
natures	本性
naturopathy	自然疗法
naught	无
naughtier	更淘气
naughtiness	顽皮
naughty	淘气
naur	瑙鲁
nauru	瑙鲁
nausea	恶心
nauseate	使恶心
nauseating	令人作呕
nauseous	恶心的
nauseum	冗长
nautch	印度舞
nautical	航海的
nautilus	鹦鹉螺
nav	导航
navaglobe	远程导航系统
navaho	纳瓦霍
navaid	助航设备
navajo	纳瓦霍
naval	海军的
navally	海军地
nave	中殿
navel	肚脐
navicat	数据库工具
navicat premium	高级数据库工具
navies	海军
navigability	可航行性
navigable	可航行的
navigate	导航
navigated	导航了
navigates	导航
navigating	导航中
navigation	导航
navigational	导航的
navigator	导航员
navigators	导航员
navona	纳沃纳
navvy	壮工
navy	海军
nay	反对
nazarene	拿撒勒人
nazareth	拿撒勒
nazi	纳粹
nazify	纳粹化
nazis	纳粹
nazism	纳粹主义
nba	美职篮
national basketball association	美职篮
nba k	篮球游戏
nbc	美国广播公司
ncaa	全美大学体育协会
ndjamena	恩贾梅纳
ndm	无数据管理
neat download manager	简洁下载管理器
nds	任天堂ds
ne	不
ne'er	从不
neal	尼尔
neanderthal	尼安德特人
neap	小潮
neapolitan	那不勒斯人
near	接近
nearby	附近
neared	接近了
nearer	更近
nearest	最近
nearing	接近中
nearly	几乎
nearness	接近度
near protocol	near协议
nears	接近
nearsighted	近视的
nearsightedness	近视
neat	整洁
neat download manager	简洁下载管理器
neaten	整理
neater	更整洁
neatest	最整洁
neatherd	牧牛人
neatly	整洁地
neatness	整洁
neb	喙
nebbish	懦夫
nebraska	内布拉斯加州
nebraskan	内布拉斯加人
nebuchadnezzar	尼布甲尼撒
nebula	星云
nebulae	星云
nebular	星云的
nebulise	雾化
nebulize	雾化
nebulosity	朦胧
nebulous	模糊的
necessaries	必需品
necessarily	必然
necessary	必要的
necessitate	需要
necessitated	需要
necessitates	需要
necessitating	需要
necessitation	需要
necessities	必需品
necessitous	贫困的
necessity	必要性
neck	脖子
neckband	领圈
neckerchief	围巾
necking	亲吻
necklace	项链
necklaces	项链
neckline	领口
necks	脖子
necktie	领带
neckties	领带
neckwear	颈饰
necrology	讣告
necromancer	巫师
necromancy	巫术
necrophilia	恋尸癖
necropolis	墓地
necropsy	尸检
necrosis	坏死
necrotic	坏死的
nectar	花蜜
nectarine	油桃
nectary	蜜腺
ned	内德
nederland	荷兰
nederlands	荷兰语
need	需要
needed	需要的
needful	必要的
needham	尼达姆
neediness	贫困
needing	需要
needle	针
needled	刺穿的
needlefish	针鱼
needlelike	针状的
needlepoint	针绣
needler	刺针
needlers	刺针
needles	针
needless	不必要
needlessly	不必要地
needlessness	不必要
needlework	刺绣
needling	刺
needn't	不必
needs	需要
needy	贫困
nefarious	邪恶
neff	内夫
negate	否定
negated	否定了
negates	否定
negating	否定中
negation	否定
negations	否定
negative	负面
negatively	负面地
negatives	负面
negativism	消极主义
negativist	消极主义者
negativity	消极性
negator	否定者
negators	否定者
negatory	否定性
negatron	负电子
neglect	忽视
neglected	被忽视的
neglectful	疏忽的
neglecting	忽视
neglects	忽视
negligee	睡袍
negligence	疏忽
negligent	疏忽的
negligible	可忽略的
negligibly	可忽略地
negotiability	可转让性
negotiable	可转让的
negotiant	谈判者
negotiate	谈判
negotiated	已谈判
negotiates	谈判
negotiating	谈判中
negotiation	谈判
negotiations	谈判
negotiator	谈判者
negrito	尼格利陀人
negro	黑人
negroes	黑人
negroid	黑人特征的
negroization	黑人化
negroizations	黑人化
negroize	使黑人化
negroizes	使黑人化
negulation	否定
negus	尼格斯
nehemiah	尼希米
nehru	尼赫鲁
neigh	嘶鸣
neighbor	邻居
neighborhood	社区
neighborhoods	社区
neighboring	邻近
neighborly	友善
neighbors	邻居
neighbour	邻居
neighbourhood	社区
neighbouring	邻近
neighbours	邻居
neil	尼尔
neither	也不
nell	内尔
nellie	内莉
nelly	内莉
nelsen	尼尔森
nelson	纳尔逊
nematode	线虫
nemean	尼米亚
nemesis	天敌
nemo	尼莫
neoclassic	新古典
neoclassical	新古典
neoclassicism	新古典主义
neocognitron	新认知机
neocolonialism	新殖民主义
neodymium	钕
neolith	新石器
neolithic	新石器时代
neologise	创新词
neologism	新词
neologize	创新词
neology	新词学
neomycin	新霉素
neon	霓虹灯
neonatal	新生儿的
neonate	新生儿
neophilia	喜新
neophyte	新手
neophytes	新手
neoplatonism	新柏拉图主义
neoprene	氯丁橡胶
neoteric	新近的
neovim	新维姆
neovide	新视界
nepal	尼泊尔
nepalese	尼泊尔人
nepali	尼泊尔语
nephew	侄子
nephews	侄子
nephology	云学
nephridium	肾管
nephrite	软玉
nephritic	肾炎的
nephritis	肾炎
nepotic	偏袒的
nepotism	裙带关系
nepotist	裙带关系者
neptune	海王星
neptunist	海王星论者
neptunium	镎
nerd	书呆子
nereid	海仙女
nerf	削弱
nero	尼禄
neronian	尼禄式的
nerval	神经的
nervate	有脉的
nervation	脉序
nerve	神经
nerveless	无力的
nerves	神经
nervily	大胆地
nervine	神经的
nerviness	大胆
nerving	鼓起勇气
nervosity	神经质
nervous	紧张的
nervously	紧张地
nervousness	紧张
nervure	叶脉
nervy	紧张的
nescient	无知的
ness	尼斯
nest	巢
nested	嵌套的
nester	筑巢者
nesting	嵌套
nestle	依偎
nestled	依偎
nestles	依偎
nestling	雏鸟
nestor	内斯特
nestorian	聂斯托利
nests	巢穴
net	网
netgear	网件
nether	下界
netherland	荷兰
netherlands	荷兰
nethermost	最下层
netlike	网状的
neto	内托
nets	网
netscape	网景
netted	捕获
netting	网
nettle	荨麻
nettled	激怒
nettlesome	恼人的
netty	内蒂
netware	网件
network	网络
networked	联网
networking	联网
networks	网络
neu	神经
neumann	诺依曼
neural	神经
neuralgia	神经痛
neuralgic	神经痛
neurasthenia	神经衰弱
neurasthenic	神经衰弱
neurilemmal	神经鞘
neuristor	神经器件
neuritis	神经炎
neuroelectricity	神经电
neuroglia	神经胶质
neurological	神经学
neurologist	神经学家
neurologists	神经学家
neurology	神经学
neuron	神经元
neurons	神经元
neuropath	神经病
neuropathy	神经病
neurophysiology	神经生理学
neuropsychiatry	神经精神病学
neuroscience	神经科学
neuroses	神经症
neurosis	神经症
neurospora	脉孢菌
neurotic	神经质的
neurotransmitter	神经递质
neuter	中性
neutral	中立
neutralise	中和
neutralism	中立主义
neutralist	中立主义者
neutralities	中立性
neutrality	中立
neutralization	中和
neutralize	中和
neutralized	被中和的
neutralizing	中和中
neutraliztion	中和
neutrally	中立地
neutrino	中微子
neutrinos	中微子
neutron	中子
neva	涅瓦河
nevada	内华达州
nevadan	内华达州的
never	从不
nevermore	永不再
nevertheless	然而
neville	内维尔
nevins	内文斯
nevis	尼维斯
nevus	痣
new	新的
newark	纽瓦克
newberry	纽伯里
newbie	新手
newbies	新手
new bing	新必应
newbold	纽博尔德
newborn	新生儿
newbury	纽伯里
newburyport	纽伯里波特
newcastle	纽卡斯尔
newcome	新来的
newcomer	新来者
newcomers	新来者
newegg	新蛋
newel	楼梯柱
newell	纽厄尔
newer	较新
newest	最新
newfangled	新奇的
newfashioned	新式的
newfoundland	纽芬兰
newish	较新的
newly	新近
newlywed	新婚者
newlyweds	新婚夫妇
newman	纽曼
newmanize	纽曼化
newmanizes	纽曼化
newness	新颖
newport	纽波特
news	新闻
newsboy	报童
newsbreak	新闻快讯
newscast	新闻广播
newscaster	新闻主播
newsfeed	新闻推送
newsflash	新闻快讯
newsgator	新闻聚合器
newsgroup	新闻组
newsgroups	新闻组
newshen	女记者
newsless	无新闻的
newsletter	通讯
newsletters	通讯
newsman	男记者
newsmen	男记者
newsmonger	传播新闻者
newspaper	报纸
newspapers	报纸
newspeak	新语
newsprint	新闻纸
newsreel	新闻短片
newsroom	新闻编辑室
newsstand	报摊
newsweek	新闻周刊
newsweekly	新闻周刊
newswire	新闻专线
newsworthy	有新闻价值的
newsy	多新闻的
newt	蝾螈
newton	牛顿
newtonian	牛顿的
new zealand	新西兰
new zealander	新西兰人
next	下一个
next.js	next.js
nexus	关联
near field communication	近场通信
non-fungible token	非同质化代币
ngo	非政府组织
non-governmental organization	非政府组织
ngram	n元语法
nguyen	阮
niagara	尼亚加拉
niamey	尼亚美
nib	笔尖
nibble	啃
nibbled	啃过的
nibbler	啃咬者
nibblers	啃咬者
nibbles	零食
nibbling	啃咬
nibel	尼伯尔
nibelung	尼伯龙根
niblick	铁杆
nibs	碎屑
nic	网卡
nicaragua	尼加拉瓜
niccolo	尼科洛
nice	好的
nicely	很好地
nicene	尼西亚
niceness	友善
nicer	更好
nicest	最好
nicety	细节
niche	利基
nicholas	尼古拉斯
nicholls	尼科尔斯
nichols	尼科尔斯
nicholson	尼科尔森
nick	刻痕
nicked	被刻
nickel	镍
nickelback	五分钱乐队
nickeline	红砷镍矿
nickels	镍币
nicker	马嘶
nicking	刻划
nicklaus	尼克劳斯
nickle	镍
nickname	昵称
nicknamed	绰号
nicknames	昵称
nicks	划痕
nicodemus	尼哥底母
nicolas	尼古拉斯
nicole	妮可
nicosia	尼科西亚
nicotinamide	烟酰胺
nicotine	尼古丁
nicotinism	尼古丁中毒
nictitate	眨眼
nidus	病灶
niece	侄女
nieces	侄女
nielsen	尼尔森
nielson	尼尔森
nietzsche	尼采
niff	臭味
nifty	灵巧的
nigel	奈杰尔
niger	尼日尔
nigeria	尼日利亚
nigerian	尼日利亚人
niggard	吝啬鬼
niggardly	吝啬地
nigger	黑鬼
niggle	挑剔
nigh	近
night	夜晚
nightcap	睡帽
nightclub	夜总会
nightfall	黄昏
nightgown	睡袍
nightingale	夜莺
nightingales	夜莺
nightlife	夜生活
nightlong	通宵
nightly	每夜
nightman	夜班工
nightmare	噩梦
nightmares	噩梦
nightmarish	噩梦般
nights	夜晚
nightshade	龙葵
nightshirt	睡衣
nightstick	警棍
nightstool	夜壶
nighttime	夜间
nightwish	夜愿
nightwork	夜班
nighty	睡衣
nigritude	黑色
nihilism	虚无主义
nihilist	虚无主义者
nihilistic	虚无的
nihility	虚无
nijinsky	尼金斯基
nike	耐克
nikki	尼基
nikko	日光
nikolai	尼古拉
nikon	尼康
nil	零
nile	尼罗河
nilsen	尼尔森
nilsson	尼尔松
nimble	敏捷
nimblehanded	手巧
nimbleness	敏捷
nimbler	更敏捷
nimbly	敏捷地
nimbostratus	雨层云
nimbus	光晕
nimrod	猎人
nina	妮娜
nincompoop	傻瓜
nine	九
ninefold	九倍
nines	九
nineteen	十九
nineteens	十九
nineteenth	第十九
nineties	九十年代
ninetieth	第九十
ninety	九十
nineveh	尼尼微
ninja	忍者
ninny	傻瓜
nintendo	任天堂
ninth	第九
ninthly	第九点
niobe	尼俄伯
niobium	铌
nip	捏
niphew	侄子
nipper	钳子
nipping	刺骨的
nipple	乳头
nipples	乳头
nippon	日本
nipponize	日本化
nipponizes	日本化
nippy	寒冷的
nips	捏
niri	尼里
nirvana	涅槃
nis	尼斯
nissan	日产
nit	虱卵
nite	夜晚
nitinol	镍钛诺
nitrate	硝酸盐
nitration	硝化
nitric	氮的
nitride	氮化物
nitrification	硝化作用
nitrify	硝化
nitrite	亚硝酸盐
nitro	硝基
nitrobenzene	硝基苯
nitrocellulose	硝化纤维素
nitrochalk	硝石粉
nitrogen	氮
nitrogenous	含氮的
nitrous	亚硝的
nitty	细节的
nitwit	笨蛋
niue	纽埃
nix	否决
nixon	尼克松
nizam	尼扎姆
nlp	自然语言处理
natural language processing	自然语言处理
no	不
noah	诺亚
nob	要人
nobbily	时髦地
nobble	收买
nobbler	收买者
nobby	时髦的
nobel	诺贝尔
nobelist	诺贝尔奖得主
nobelium	锘
nobility	贵族
noble	高贵的
nobleman	贵族
nobleness	高贵
nobler	更高贵
nobles	贵族
noblest	最高贵
noblewoman	贵妇
nobly	高贵地
nobody	无人
nock	箭槽
noctalia	夜蛾
noctambulism	梦游
noctivagant	夜游的
nocturnal	夜间的
nocturnally	夜间地
nocturne	夜曲
nocuous	有害的
nod	点头
nodal	节点的
nodded	点头了
noddie	傻瓜
nodding	点头
noddle	脑袋
noddy	笨蛋
node	节点
node.js	node.js
nodes	节点
nods	点头
nodular	结节状的
nodule	结节
nodules	结节
nodus	节点
noel	圣诞
noesis	认知
noetherian	诺特
noetic	智性的
nog	木栓
noggin	小杯
nogging	砖砌
nohow	绝不
noir	黑色
noise	噪音
noiseless	无声的
noiselessly	无声地
noisemaker	发声器
noises	噪音
noisier	更吵
noisily	吵闹地
noisiness	嘈杂
noisome	恶臭的
noisy	吵闹的
noita	女巫
noizio	白噪音
nokia	诺基亚
nolan	诺兰
noll	诺尔
nolume	无体积
nomad	游牧民
nomadic	游牧的
nomadism	游牧
nomenclature	命名法
nominal	名义
nominally	名义上
nominate	提名
nominated	被提名
nominating	提名
nomination	提名
nominations	提名
nominatival	主格
nominative	主格
nominator	提名者
nominee	被提名者
nominees	被提名者
nomisma	诺米斯马
nomogram	诺模图
nomography	诺模图学
non	非
non-player character	非玩家角色
non-stop	直达
nonabstainer	非戒酒者
nonacceptance	不接受
nonadaptive	非适应
nonage	未成年
nonagenarian	九十岁老人
nonaggression	不侵犯
nonagon	九边形
nonagricultural	非农业
nonalcoholic	无酒精
nonaligned	不结盟
nonalignment	不结盟
noname	无名
nonappearance	缺席
nonary	九进制
nonattendance	缺勤
nonbelligerent	非交战国
nonbiodegradable	不可降解
nonblocking	非阻塞
nonbridging	非桥接
nonce	临时
nonchalance	冷漠
nonchalant	冷淡
nonclaim	未主张
noncollegiate	非学院
noncombatant	非战斗员
noncombustible	不燃
noncommercial	非商业
noncommissioned	未授衔
noncommittal	不表态
noncommunication	不沟通
noncommunist	非共产主义
noncompliance	不遵守
nonconducting	不导电
nonconductor	绝缘体
nonconfidence	不信任
nonconformist	非国教徒
nonconformity	不一致
nonconsecutively	不连续
nonconservative	非保守
noncontentious	无争议
noncritical	非关键
noncyclic	非循环
nondecreasing	非递减
nondelivery	未送达
nondescript	无特色
